Date,Day Number,Project Number,Counter Number,Location,Direction,Time,AM or PM,Value 01,Value 02
September 22 2022,NO MATCH FOUND FOR: 'DayNum',12203-01,13,of Callagham Rd,EAST-WEST,06:15,AM,0,61
September 22 2022,NO MATCH FOUND FOR: 'DayNum',12203-01,13,of Callagham Rd,EAST-WEST,18:15,PM,0,74
September 22 2022,NO MATCH FOUND FOR: 'DayNum',12203-01,13,of Callagham Rd,EAST-WEST,06:30,AM,0,15
September 22 2022,NO MATCH FOUND FOR: 'DayNum',12203-01,13,of Callagham Rd,EAST-WEST,18:30,PM,0,93
September 22 2022,NO MATCH FOUND FOR: 'DayNum',12203-01,13,of Callagham Rd,EAST-WEST,06:45,AM,0,21
September 22 2022,NO MATCH FOUND FOR: 'DayNum',12203-01,13,of Callagham Rd,EAST-WEST,18:45,PM,0,88
September 22 2022,NO MATCH FOUND FOR: 'DayNum',12203-01,13,of Callagham Rd,EAST-WEST,19:00,PM,0,53
September 21 2022,15:00,12203-01,14,Callagham d,EAST-WEST,14:00,PM,15,0
September 21 2022,15:00,12203-01,14,Callagham d,EAST-WEST,14:15,PM,18,0
September 21 2022,15:00,12203-01,14,Callagham d,EAST-WEST,14:30,PM,22,0
September 21 2022,15:00,12203-01,14,Callagham d,EAST-WEST,14:45,PM,26,0
September 21 2022,15:00,12203-01,14,Callagham d,EAST-WEST,15:00,PM,57,0
September 21 2022,15:00,12203-01,14,Callagham d,EAST-WEST,15:15,PM,44,0
September 21 2022,15:00,12203-01,14,Callagham d,EAST-WEST,15:30,PM,19,0
September 21 2022,15:00,12203-01,14,Callagham d,EAST-WEST,15:45,PM,16,0
September 21 2022,15:00,12203-01,14,Callagham d,EAST-WEST,06:45,AM,34,0
September 21 2022,15:00,12203-01,14,Callagham d,EAST-WEST,07:00,AM,31,0
